[2022-05-22 01:27:54:0423] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 02:51:20:0635] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 02:51:20:0635] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:51:20:0636] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 02:51:20:0939] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:56:17:0439] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 02:56:17:0439] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 02:56:17:0439] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:56:17:0439] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:56:17:0439] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[52277], devIP[c0a80105]
[2022-05-22 02:56:17:0441] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 02:56:17:0441] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:56:17:0443] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 02:56:17:0764] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 02:57:09:0768] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 02:57:09:0783] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 02:57:09:0785] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 02:57:10:0850] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 03:08:36:0162] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 03:08:36:0162] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 03:08:36:0162] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:08:36:0162] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:08:36:0162] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[55735], devIP[c0a80105]
[2022-05-22 03:08:36:0164] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 03:08:36:0164] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:08:36:0165] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 03:08:36:0444] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:09:51:0756] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 03:09:51:0756] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 03:09:51:0756] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:09:51:0756] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:09:51:0756] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[61808], devIP[c0a80105]
[2022-05-22 03:09:51:0758] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 03:09:51:0758] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:09:51:0760] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 03:09:52:0040] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:14:45:0491] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 03:14:45:0491] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 03:14:45:0491] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:14:45:0491] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:14:45:0491] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[62680], devIP[c0a80105]
[2022-05-22 03:14:45:0493] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 03:14:45:0493] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:14:45:0494] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 03:14:45:0723] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:17:30:0761] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 03:17:30:0761] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 03:17:30:0761] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:17:30:0761] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:17:30:0761] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[62861], devIP[c0a80105]
[2022-05-22 03:17:30:0763] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 03:17:30:0763] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:17:30:0764] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 03:17:30:0986] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:17:55:0930] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 03:17:55:0944] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 03:17:55:0953] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 03:17:56:0427] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 03:25:47:0524] | GigEVisionManager.cpp-L0276: socket mode start!
[2022-05-22 03:25:47:0524] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:25:47:0524] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:25:47:0524] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[57290], devIP[c0a80105]
[2022-05-22 03:25:47:0526] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 03:25:47:0526] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:25:47:0527] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 03:25:47:0807] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:26:11:0512] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 03:26:11:0526] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 03:26:11:0597] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 03:26:12:0048] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 03:32:17:0203] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 03:32:17:0203] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 03:32:17:0204] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:32:17:0204] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:32:17:0204] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[56633], devIP[c0a80105]
[2022-05-22 03:32:17:0205] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 03:32:17:0205] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:32:17:0207] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 03:32:17:0509] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 03:32:47:0480] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 03:32:47:0495] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 03:32:47:0510] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 03:32:47:0756] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 19:53:11:0159] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 19:53:11:0159] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 19:53:11:0159] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 19:53:11:0159] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 19:53:11:0159] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[62506], devIP[c0a80105]
[2022-05-22 19:53:11:0163] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 19:53:11:0163] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 19:53:11:0165] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 19:53:11:0604] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 19:53:52:0562] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 19:53:52:0575] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 19:53:52:0577] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 19:53:52:0869] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 19:57:50:0589] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 19:57:50:0589] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 19:57:50:0589] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 19:57:50:0590] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 19:57:50:0590] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[53909], devIP[c0a80105]
[2022-05-22 19:57:50:0591] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 19:57:50:0591] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 19:57:50:0592] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 19:57:50:0890] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 19:59:22:0564] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 19:59:22:0564] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 19:59:22:0564] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 19:59:22:0564] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 19:59:22:0564] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[63276], devIP[c0a80105]
[2022-05-22 19:59:22:0566] | GigEVisionManager.cpp-L0882: GVCP_GetAccessPrivilege [1][80000203]
[2022-05-22 20:04:05:0357] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 20:04:05:0357] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 20:04:05:0357] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:04:05:0357] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:04:05:0357] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[54608], devIP[c0a80105]
[2022-05-22 20:04:05:0359] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 20:04:05:0359] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:04:05:0361] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 20:04:05:0778] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:04:30:0979] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 20:04:30:0981] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 20:04:30:0994] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 20:04:31:0409] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 20:04:31:0443] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 20:04:31:0443] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 20:04:31:0443] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:04:31:0443] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:04:31:0443] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[55792], devIP[c0a80105]
[2022-05-22 20:04:31:0446] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 20:04:31:0446] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:04:31:0447] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 20:04:31:0819] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:10:31:0240] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 20:10:31:0240] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 20:10:31:0241] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:10:31:0241] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:10:31:0241] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[65158], devIP[c0a80105]
[2022-05-22 20:10:31:0243] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 20:10:31:0243] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:10:31:0244] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 20:10:31:0645] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:19:56:0555] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 20:19:56:0555] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 20:19:56:0556] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:19:56:0556] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:19:56:0556] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[59230], devIP[c0a80105]
[2022-05-22 20:19:56:0558] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 20:19:56:0558] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:19:56:0559] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 20:19:56:0946] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:21:12:0229] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 20:21:12:0245] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 20:21:12:0303] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 20:21:13:0238] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 20:21:36:0300] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 20:21:36:0300] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 20:21:36:0300] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:21:36:0300] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:21:36:0300] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[55488], devIP[c0a80105]
[2022-05-22 20:21:36:0302] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 20:21:36:0302] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:21:36:0304] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 20:21:36:0691] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:21:55:0073] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 20:21:55:0087] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 20:21:55:0160] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 20:21:56:0345] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 20:23:06:0493] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 20:23:06:0493] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 20:23:06:0493] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:23:06:0494] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:23:06:0494] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[58373], devIP[c0a80105]
[2022-05-22 20:23:06:0495] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 20:23:06:0495] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:23:06:0497] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 20:23:06:0891] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:23:44:0809] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 20:23:44:0824] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 20:23:44:0829] | GigEVisionManager.cpp-L2840: event thread stop
[2022-05-22 20:23:45:0803] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2022-05-22 20:24:13:0754] | GigEVisionManager.cpp-L0272: driver mode start!
[2022-05-22 20:24:13:0754] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2022-05-22 20:24:13:0754] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:24:13:0755] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:24:13:0755] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[c0a80102], hostPort[53877], devIP[c0a80105]
[2022-05-22 20:24:13:0756] | GigEVisionManager.cpp-L0572: m_nUpNetExport[c0a80102], m_nUpDevIP[c0a80105]
[2022-05-22 20:24:13:0756] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:24:13:0758] | GigEVisionManager.cpp-L2769: event thread start...
[2022-05-22 20:24:14:0027] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80102]
[2022-05-22 20:24:32:0442] | GigEVisionManager.cpp-L0898: disconnect device ...
[2022-05-22 20:24:32:0457] | GigEVisionManager.cpp-L2308: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2022-05-22 20:24:32:0509] | GigEVisionManager.cpp-L2840: event thread stop
